Season,Team,Player,Role,Nationality,Prime_Rating,Season_Rating,Notes
2008,Chennai Super Kings,Matthew Hayden,Opener,Australian,88,85,Destructive overseas opener; pillar of CSK attack
2008,Chennai Super Kings,Parthiv Patel,WK-Batter,Indian,72,70,Wicketkeeper opener in the inaugural season
2008,Chennai Super Kings,Suresh Raina,Batter,Indian,87,83,Top scorer for CSK with 421 runs; brilliant youngster
2008,Chennai Super Kings,MS Dhoni,WK-Batter (C),Indian,98,88,Captain and finisher; steered CSK to the final
2008,Chennai Super Kings,Subramaniam Badrinath,Batter,Indian,75,72,Solid middle-order contributor
2008,Chennai Super Kings,Albie Morkel,All-rounder,South African,80,85,Top wicket-taker with 17 wickets; lower-order hitter
2008,Chennai Super Kings,Jacob Oram,All-rounder,New Zealander,78,75,Overseas all-rounder; useful in middle overs
2008,Chennai Super Kings,Shadab Jakati,Bowler,Indian,68,72,Preferred spinner; economical left-arm spin
2008,Chennai Super Kings,Muttiah Muralitharan,Bowler,Sri Lankan,95,82,11 wickets; legendary off-spinner
2008,Chennai Super Kings,Lakshmipathy Balaji,Bowler,Indian,72,78,First IPL hat-trick; 11 wickets; key pacer
2008,Chennai Super Kings,Makhaya Ntini,Bowler,South African,80,72,Opening bowler; 7 wickets in 9 matches
2008,Rajasthan Royals,Graeme Smith,Opener,South African,88,82,441 runs; destructive opening partner for Watson
2008,Rajasthan Royals,Shane Watson,All-rounder,Australian,88,90,Player of tournament; 472 runs and 17 wickets
2008,Rajasthan Royals,Mohammed Kaif,Batter,Indian,72,68,176 runs; steady middle-order presence
2008,Rajasthan Royals,Yusuf Pathan,All-rounder,Indian,82,90,435 runs; final hero; 3 wickets in the decider
2008,Rajasthan Royals,Ravindra Jadeja,All-rounder,Indian,90,75,Young allrounder; debut IPL season
2008,Rajasthan Royals,Kamran Akmal,WK-Batter,Pakistani,75,72,Wicketkeeper in most matches
2008,Rajasthan Royals,Dimistri Mascarenhas,All-rounder,English,72,70,Useful lower-order all-rounder
